differential_technique,threshold,unknown_threshold,precision_event,recall_event,precision_class,recall_class,precision_disag,recall_disag
previous,400,4.0,72.4306530772,65.4401604878,81.7633852956,53.6879321191,58.7787725563,44.5695648082
first,400,1.5,85.8850461778,18.6178896001,79.3088402411,40.9001225581,68.4174130802,11.3720143281
first,400,2.0,77.9635527211,18.6178896001,84.6431934079,54.0777977041,65.99948192,13.2257151148
first,400,2.5,72.2889194641,18.6178896001,86.4976281611,56.9507463391,63.0027696073,13.9477784783
first,400,3.0,68.3577697704,18.6178896001,83.357541671,56.9507463391,59.0716199136,13.9477784783
first,400,3.5,67.2758577601,18.6178896001,82.2440934043,56.9507463391,57.9897079033,13.9477784783
first,400,4.0,65.2949528208,18.6178896001,82.2198236335,56.9507463391,56.008802964,13.9477784783
previous,400,0.5,100.0,65.4401604878,41.7361016956,0.0,41.7361016956,0.0
previous,400,1.0,98.7925386334,65.4401604878,51.3218316654,10.2039307967,50.2810625585,9.13451084446
first,400,1.0,98.9360576827,18.6178896001,46.896440519,3.05311723767,45.9051733192,1.28607525847
previous,400,1.5,89.6662117822,65.4401604878,76.0051723173,42.4331020695,66.7505582906,34.8989252459
previous,400,2.0,83.4899446705,65.4401604878,78.9624181909,47.3402778997,64.408446434,39.0976190094
previous,400,2.5,79.6293471286,65.4401604878,81.0407541732,50.6668747968,62.9794858131,41.73010178
first,400,0.5,100.0,18.6178896001,43.9159983988,0.0,43.9159983988,0.0
previous,400,3.0,76.3098896464,65.4401604878,81.207525432,51.6044183748,60.5815491969,42.5908635049
previous,400,3.5,73.9710430413,65.4401604878,81.430074522,52.6993584407,59.334276373,43.6229529787
first,400,2.5,72.2889194641,18.6178896001,86.4976281611,56.9507463391,63.0027696073,13.9477784783
first,400,1.5,85.8850461778,18.6178896001,79.3088402411,40.9001225581,68.4174130802,11.3720143281
first,400,2.0,77.9635527211,18.6178896001,84.6431934079,54.0777977041,65.99948192,13.2257151148
first,400,3.0,68.3577697704,18.6178896001,83.357541671,56.9507463391,59.0716199136,13.9477784783
first,400,3.5,67.2758577601,18.6178896001,82.2440934043,56.9507463391,57.9897079033,13.9477784783
first,400,4.0,65.2949528208,18.6178896001,82.2198236335,56.9507463391,56.008802964,13.9477784783
previous,400,0.5,100.0,65.4401604878,41.7361016956,0.0,41.7361016956,0.0
previous,400,1.0,98.7925386334,65.4401604878,51.3218316654,10.2039307967,50.2810625585,9.13451084446
previous,400,1.5,89.6662117822,65.4401604878,76.0051723173,42.4331020695,66.7505582906,34.8989252459
first,400,1.0,98.9360576827,18.6178896001,46.896440519,3.05311723767,45.9051733192,1.28607525847
previous,400,2.0,83.4899446705,65.4401604878,78.9624181909,47.3402778997,64.408446434,39.0976190094
previous,400,2.5,79.6293471286,65.4401604878,81.0407541732,50.6668747968,62.9794858131,41.73010178
previous,400,3.0,76.3098896464,65.4401604878,81.207525432,51.6044183748,60.5815491969,42.5908635049
first,400,0.5,100.0,18.6178896001,43.9159983988,0.0,43.9159983988,0.0
previous,400,3.5,73.9710430413,65.4401604878,81.430074522,52.6993584407,59.334276373,43.6229529787
previous,400,4.0,72.4306530772,65.4401604878,81.7633852956,53.6879321191,58.7787725563,44.5695648082
first,400,2.5,72.2889194641,18.6178896001,86.4976281611,56.9507463391,63.0027696073,13.9477784783
first,400,1.5,85.8850461778,18.6178896001,79.3088402411,40.9001225581,68.4174130802,11.3720143281
first,400,2.0,77.9635527211,18.6178896001,84.6431934079,54.0777977041,65.99948192,13.2257151148
first,400,3.0,68.3577697704,18.6178896001,83.357541671,56.9507463391,59.0716199136,13.9477784783
first,400,3.5,67.2758577601,18.6178896001,82.2440934043,56.9507463391,57.9897079033,13.9477784783
first,400,4.0,65.2949528208,18.6178896001,82.2198236335,56.9507463391,56.008802964,13.9477784783
previous,400,0.5,100.0,65.4401604878,41.7361016956,0.0,41.7361016956,0.0
previous,400,1.0,98.7925386334,65.4401604878,51.3218316654,10.2039307967,50.2810625585,9.13451084446
previous,400,1.5,89.6662117822,65.4401604878,76.0051723173,42.4331020695,66.7505582906,34.8989252459
first,400,1.0,98.9360576827,18.6178896001,46.896440519,3.05311723767,45.9051733192,1.28607525847
previous,400,2.0,83.4899446705,65.4401604878,78.9624181909,47.3402778997,64.408446434,39.0976190094
previous,400,2.5,79.6293471286,65.4401604878,81.0407541732,50.6668747968,62.9794858131,41.73010178
previous,400,3.0,76.3098896464,65.4401604878,81.207525432,51.6044183748,60.5815491969,42.5908635049
first,400,0.5,100.0,18.6178896001,43.9159983988,0.0,43.9159983988,0.0
previous,400,3.5,73.9710430413,65.4401604878,81.430074522,52.6993584407,59.334276373,43.6229529787
previous,400,4.0,72.4306530772,65.4401604878,81.7633852956,53.6879321191,58.7787725563,44.5695648082
